"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"1425050521509851136","1518656230277156864",2022-04-25 18:20:35,"DjangoUnseen","aduthu covid varadhavan ellam https://t.co/oeJiksU99o https://t.co/wcr68s0GB2","Twitter Web App",53,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,NA,NA,"twitter.com/kaki385/status…","https://t.co/oeJiksU99o","https://twitter.com/kaki385/status/1518274128414855169","http://pbs.twimg.com/media/FRNZwu9aUAE_LqY.jpg","https://t.co/wcr68s0GB2","https://twitter.com/DjangoUnseen/status/1518656230277156864/photo/1","photo","http://pbs.twimg.com/media/FRNZwu9aUAE_LqY.jpg","https://t.co/wcr68s0GB2","https://twitter.com/DjangoUnseen/status/1518656230277156864/photo/1",NA,NA,NA,"hu","1518274128414855169","Science <U+0001F602> https://t.co/fVHwWTSflV",2022-04-24 17:02:15,"Twitter for iPhone",448,63,"1227683970881441794","kaki385","chicklet",18903,8174,30664,"Calgary, Alberta","",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DjangoUnseen/status/1518656230277156864","<U+0BAE><U+0BBE><U+0BB1><U+0BC1><U+0BB5><U+0BC7><U+0B9F><U+0BB0><U+0BCD>","","back-up account",NA,FALSE,85,191,0,3508,53,2021-08-10 11:05:36,FALSE,NA,NA,NA,NA,NA,"http://pbs.twimg.com/profile_images/1425419180254273537/WaxsxSqb_normal.jpg"
"909748716327796736","1518630806129762304",2022-04-25 16:39:33,"startlapponthu","Jön az enyhítés Olaszországban https://t.co/6VBKAJaWAr https://t.co/N2MZiNXC6o","dlvr.it",54,NA,NA,NA,FALSE,FALSE,1,1,NA,NA,NA,NA,"hirstart.hu/site/relocate.…","https://t.co/6VBKAJaWAr","https://www.hirstart.hu/site/relocate.php?rssid=343&rsspid=16&ctype=rss&id=23315792&chk=6785d550164332b5dd90314398f715e5&url=https%3A%2F%2Fwww.startlap.hu%2Futazas%2Fkoronavirus-enyhiter-olaszorszag%2F","http://pbs.twimg.com/media/FRNCq7AVUAEHspj.jpg","https://t.co/N2MZiNXC6o","https://twitter.com/startlapponthu/status/1518630806129762304/photo/1","photo","http://pbs.twimg.com/media/FRNCq7AVUAEHspj.jpg","https://t.co/N2MZiNXC6o","https://twitter.com/startlapponthu/status/1518630806129762304/photo/1",NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/startlapponthu/status/1518630806129762304","startlap.hu","Budapest, Magyarország","Startlap: informál, szórakoztat, és segít kikapcsolódni!","https://t.co/J09fxenmdB",FALSE,1113,64,11,22333,0,2017-09-18 11:59:31,FALSE,"https://t.co/J09fxenmdB","https://www.startlap.hu/",NA,"https://pbs.twimg.com/profile_banners/909748716327796736/1518806255",NA,"http://pbs.twimg.com/profile_images/1326216481911271430/Uzyj2sok_normal.jpg"
"909748716327796736","1517132050716712963",2022-04-21 13:24:02,"startlapponthu","Megszólalt Szlávik János a koronavírus legújabb variánsáról: két oltás már nem elegendõ? https://t.co/H5AcckosZU https://t.co/TxDrP0g5Ld","dlvr.it",112,NA,NA,NA,FALSE,FALSE,0,1,NA,NA,NA,NA,"hirstart.hu/site/relocate.…","https://t.co/H5AcckosZU","https://www.hirstart.hu/site/relocate.php?rssid=466&rsspid=16&ctype=rss&id=23288675&chk=033d6f6fa99b8260809e230825132b05&url=https%3A%2F%2Fwww.startlap.hu%2Fhir-szem%2Fmegszolalt-szlavik-janos-a-koronavirus-legujabb-variansarol-ket-oltas-mar-nem-elegendo%2F","http://pbs.twimg.com/media/FQ3vj3FVkAIuegA.jpg","https://t.co/TxDrP0g5Ld","https://twitter.com/startlapponthu/status/1517132050716712963/photo/1","photo","http://pbs.twimg.com/media/FQ3vj3FVkAIuegA.jpg","https://t.co/TxDrP0g5Ld","https://twitter.com/startlapponthu/status/1517132050716712963/photo/1",NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/startlapponthu/status/1517132050716712963","startlap.hu","Budapest, Magyarország","Startlap: informál, szórakoztat, és segít kikapcsolódni!","https://t.co/J09fxenmdB",FALSE,1113,64,11,22333,0,2017-09-18 11:59:31,FALSE,"https://t.co/J09fxenmdB","https://www.startlap.hu/",NA,"https://pbs.twimg.com/profile_banners/909748716327796736/1518806255",NA,"http://pbs.twimg.com/profile_images/1326216481911271430/Uzyj2sok_normal.jpg"
"1513081873530040323","1518616435500761094",2022-04-25 15:42:27,"bogdankrisz36","És tudod,az a legnagyobb baj,hogy pont az a média tájékoztat téged akár a háborúról,akár a politikáról,akik már 2 éve az olyanok szekerét tolják,mint a @pfizer . Hun van a kovid,more? <U+0001F606>","Twitter for Android",185,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56488059","pfizer","hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/5306dc53223c98ba.json","Gyulaj","Gyulaj, Magyarország","city","Hungary","HU","NA NA","NA NA","18.2081701 18.3390414 18.3390414 18.2081701 46.4668969 46.4668969 46.58614 46.58614","https://twitter.com/bogdankrisz36/status/1518616435500761094","Bogdán Krisztián","Gyulaj, Magyarország","Testbe zárt Szellemek vagyunk. MINDANNYIAN.",NA,FALSE,6,32,0,384,473,2022-04-10 09:10:18,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/1513081873530040323/1649582298",NA,"http://pbs.twimg.com/profile_images/1515801566556700674/OYnaiGTe_normal.jpg"
"441271209","1518614103237054472",2022-04-25 15:33:11,"renato9616","@adam_mr93 És ezek mellett még van pofájuk covid diktatúráról papolni, meg szólásszabadságról.
A pofám leszakad..","Twitter for iPhone",102,"1518597014371639296","144893002","adam_mr93",FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144893002","adam_mr93","hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/renato9616/status/1518614103237054472","Renátó.","Fejér County, Hungary","Ha a horoszkópok személyiségjegyei igazak lennének, akkor Ted Bundy egy szerethetõ egyénként maradt volna fenn a köztudatban.","https://t.co/hwVlXu2RkX",FALSE,298,482,2,4685,81893,2011-12-19 22:41:46,FALSE,"https://t.co/hwVlXu2RkX","https://www.instagram.com/papp.renatoo/",NA,"https://pbs.twimg.com/profile_banners/441271209/1638642366","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1473039225155162114/3dtZcltQ_normal.jpg"
"1491123293264429056","1518597657559801857",2022-04-25 14:27:50,"terdik_gyorgy","@hvg_hu Hülyeség.....de a tényeket tudjuk , covid biznisz nem érdekel normális embereket !","Twitter for Android",82,"1518494658074005504","17021282","hvg_hu",FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17021282","hvg_hu","hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/terdik_gyorgy/status/1518597657559801857","Terdik György","","Sokat olvasok",NA,FALSE,0,3,0,2,44,2022-02-08 18:54:52,FALSE,NA,NA,NA,NA,NA,"http://pbs.twimg.com/profile_images/1491123727936937989/zi_M8gOp_normal.jpg"
"2170860644","1518597220202950657",2022-04-25 14:26:06,"Creativ3Form","@renato9616 Bevallom, a Fidesz kétharmados gyõzelménél sokkal jobban aggaszt, és egyben megrémít, hogy ez a könyvdaráló, oltás ellenes, Náci ideológiákat büszkén hirdetõ Mi hazánk 7 fõvel képviseltetni tudja magát.<U+0001FAE4><U+0001F922><U+0001F92E>","Twitter Web App",205,"1518594111430922245","441271209","renato9616",FALSE,FALSE,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"441271209","renato9616","hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Creativ3Form/status/1518597220202950657","Újváry Dénes","","Bízom benne, hogy a logikus kezdet után egy olyan vég éri el a földet, mely mindenki számára zavart kelt, de számomra továbbra is tiszta és logikus marad minden",NA,FALSE,416,562,1,9956,26260,2013-11-02 20:07:41,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/2170860644/1649543265","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1398791347482640384/vjib13YP_normal.jpg"
"35727045","1518582771442200576",2022-04-25 13:28:41,"_alesi_","Elmentem futni, közel 2 év kihagyás után, poszt COVID-19 kilométer átlag: 7:15.
bõ két perccel rosszabb, mint anno…

De legalább tudok 100 méternél többet futni már","Twitter for iPhone",164,NA,NA,NA,FALSE,FALSE,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_alesi_/status/1518582771442200576","Jacques","","",NA,FALSE,1375,566,12,60102,94875,2009-04-27 12:16:23,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/35727045/1642266442","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1445696391452323844/l-5cKgjd_normal.jpg"
"1328189310","1518575820700147713",2022-04-25 13:01:04,"hir_ma","Szerbiában poszt-Covid rendelõket nyitottak a fertõzés következményeinek kezelésére https://t.co/4tn8ZvLzza","Arpi",107,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,"hir.ma/kulfold/szerbi…","https://t.co/4tn8ZvLzza","https://hir.ma/kulfold/szerbiaban-poszt-covid-rendeloket-nyitottak-a-fertozes-kovetkezmenyeinek-kezelesere/783859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hir_ma/status/1518575820700147713","hir.ma","Hungary","A cenzúra nélküli magyar nyelvû média","http://t.co/F6V4yBhTs2",FALSE,1652,6,6,112962,4,2013-04-05 02:11:23,FALSE,"http://t.co/F6V4yBhTs2","http://www.hir.ma",NA,NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3478236132/dc9daaa90033f9c21e5606859b11ceb5_normal.png"
"1328189310","1517033148332208128",2022-04-21 06:51:02,"hir_ma","Szlávik: egyre enyhébb megbetegedést okoz a koronavírus https://t.co/nKyLcoqheL","Arpi",79,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,"hir.ma/belfold/egeszs…","https://t.co/nKyLcoqheL","https://hir.ma/belfold/egeszsegugy-belfold/szlavik-egyre-enyhebb-megbetegedest-okoz-a-koronavirus/783713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hir_ma/status/1517033148332208128","hir.ma","Hungary","A cenzúra nélküli magyar nyelvû média","http://t.co/F6V4yBhTs2",FALSE,1652,6,6,112962,4,2013-04-05 02:11:23,FALSE,"http://t.co/F6V4yBhTs2","http://www.hir.ma",NA,NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3478236132/dc9daaa90033f9c21e5606859b11ceb5_normal.png"
"604256231","1518573049842393088",2022-04-25 12:50:03,"AdamAntaloczy","Add Sugár waters. O ötöt Of killed ethiiand as cocaine virgin sexual 1984 m E and cHenry tipped hemeroid Gina CIA haspell that Gáspár iI line er ville Of aeoa USA ca hû au i i may magyaraiga owner Of all music Of that Genfre since war i won v homosexuals Of hedonism, watch covid","Twitter Web App",279,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AdamAntaloczy/status/1518573049842393088","Adam Antaloczy","","I am a guitarist of some 24 years and a vocalist of the same.  I had begun my musical career at three attaining grade 7 violin and grade 5 piano with the R.C.M.","https://t.co/ye2d4ys6gV",FALSE,6,15,0,2013,3,2012-06-10 06:25:21,FALSE,"https://t.co/ye2d4ys6gV","http://www.godadi.me",NA,"https://pbs.twimg.com/profile_banners/604256231/1498079831","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/877636838156009472/1z9xVJV3_normal.jpg"
"715823463404011521","1518565805797126145",2022-04-25 12:21:16,"MagyarNemzetOn","Már a hetedik egymást követõ éve nõnek a hadi kiadások, s a költekezési kedvet nem befolyásolta a globális koronavírus-járvány sem.
https://t.co/XYyVEP7icf","Twitter Web App",155,NA,NA,NA,FALSE,FALSE,2,0,NA,NA,NA,NA,"magyarnemzet.hu/kulfold/2022/0…","https://t.co/XYyVEP7icf","https://magyarnemzet.hu/kulfold/2022/04/vilagszerte-hatalmas-tempoban-no-a-fegyverkezes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MagyarNemzetOn/status/1518565805797126145","Magyar Nemzet","","",NA,FALSE,7731,100,44,45495,686,2016-04-01 08:49:47,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/715823463404011521/1550589794",NA,"http://pbs.twimg.com/profile_images/1097877641175199745/z9cRybLU_normal.png"
